target_time,split_code,recommended_patrols,maximum_priority_score,mean_selected_confidence,deployment_status
2024-03-04 04:00:00+05:30,2,25,4.0743403,0.88666594,deployment_recommended
2024-03-04 05:00:00+05:30,2,25,6.206382,0.8259389,deployment_recommended
2024-03-04 06:00:00+05:30,2,25,5.1529417,0.88700247,deployment_recommended
2024-03-04 07:00:00+05:30,2,25,3.66183,0.9052802,deployment_recommended
2024-03-04 08:00:00+05:30,2,25,4.030704,0.87304574,deployment_recommended
2024-03-04 09:00:00+05:30,2,25,5.680593,0.89546263,deployment_recommended
2024-03-04 10:00:00+05:30,2,25,3.849132,0.8771385,deployment_recommended
2024-03-04 11:00:00+05:30,2,25,7.3421516,0.8941803,deployment_recommended
2024-03-04 12:00:00+05:30,2,25,5.114309,0.8881776,deployment_recommended
2024-03-04 13:00:00+05:30,2,24,4.3471146,0.8464234,deployment_recommended
2024-03-04 14:00:00+05:30,2,10,2.6662889,0.88683367,deployment_recommended
2024-03-04 15:00:00+05:30,2,2,1.3770474,0.92815876,deployment_recommended
2024-03-04 16:00:00+05:30,2,1,0.589555,0.9334572,deployment_recommended
2024-03-04 17:00:00+05:30,2,0,,,no_deployment_recommended
2024-03-04 18:00:00+05:30,2,0,,,no_deployment_recommended
2024-03-04 19:00:00+05:30,2,0,,,no_deployment_recommended
2024-03-04 20:00:00+05:30,2,0,,,no_deployment_recommended
2024-03-04 21:00:00+05:30,2,0,,,no_deployment_recommended
2024-03-04 22:00:00+05:30,2,0,,,no_deployment_recommended
2024-03-04 23:00:00+05:30,2,1,0.74554205,0.9099716,deployment_recommended
2024-03-05 00:00:00+05:30,2,6,1.6460562,0.91701776,deployment_recommended
2024-03-05 01:00:00+05:30,2,14,5.6265545,0.91974,deployment_recommended
2024-03-05 02:00:00+05:30,2,17,2.858464,0.9090632,deployment_recommended
2024-03-05 03:00:00+05:30,2,25,4.1389904,0.8819877,deployment_recommended
2024-03-05 04:00:00+05:30,2,25,3.834154,0.8378343,deployment_recommended
2024-03-05 05:00:00+05:30,2,25,5.269206,0.8895819,deployment_recommended
2024-03-05 06:00:00+05:30,2,25,6.0615535,0.8665912,deployment_recommended
2024-03-05 07:00:00+05:30,2,25,6.367287,0.8632118,deployment_recommended
2024-03-05 08:00:00+05:30,2,25,4.321207,0.9012295,deployment_recommended
